Data,Quantidade,CanalPrimario,CanalSecundario,Total,Media
2021-08-21,25092034,,,5121602.19,204.11
2025-06-02,203867711,203310004.0,557707.0,118981794.16,583.62
2023-09-18,107149946,,,55668636.39,519.54
2023-10-19,112424744,,,45961641.41,408.82
2024-04-21,104136979,104086397.0,50582.0,11572711.59,111.13
2023-05-05,124322983,,,68372023.87,549.95
2023-10-17,110725921,,,50080897.09,452.3
2025-07-18,213279264,212551693.0,727571.0,111874350.88,524.54
2025-01-01,97740562,97534997.0,205565.0,13935495.85,142.58
2021-08-01,12588622,,,2539237.91,201.71
2021-06-14,20632308,,,15071882.4,730.5
2024-12-11,191258377,190541816.0,716561.0,89923130.13,470.17
2021-07-03,20481300,,,4989380.15,243.61
2025-04-06,160187099,160058448.0,128651.0,21773005.55,135.92
2021-12-15,45873628,,,29538148.56,643.9
2024-09-30,172961368,172052696.0,908672.0,114143281.63,659.94
2023-05-29,80615662,,,43794097.43,543.25
2024-09-01,124497301,124298963.0,198338.0,16439929.77,132.05
2020-12-29,5668721,,,5506344.36,971.36
2025-12-08,233791425,233188648.0,602777.0,127963522.53,547.34
2021-09-09,34186814,,,21063190.1,616.12
2023-08-28,95664175,,,50673011.72,529.7
